# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  0.000000000;  0.000000000
145.0000000;  0.000000000;  0.000000000
148.3333333;  0.000000000;  0.000000000
151.6666667;  0.000000000;  0.000000000
155.0000000;  0.000000000;  0.000000000
158.3333333;  0.000000000;  0.000000000
161.6666667;  0.000000000;  0.000000000
165.0000000;  0.000000000;  0.000000000
168.3333333;  0.000000000;  0.000000000
171.6666667;  0.000000000;  0.000000000
175.0000000;  0.000000000;  0.000000000
178.3333333;  0.000000000;  0.000000000
181.6666667;  0.000000000;  0.000000000
185.0000000;  0.000000000;  0.000000000
188.3333333;  0.000000000;  0.000000000
191.6666667;  0.000000000;  0.000000000
195.0000000;  0.000000000;  0.000000000
198.3333333;  0.000000000;  0.000000000
201.6666667;  0.000000000;  0.000000000
205.0000000;  0.000000000;  0.000000000
208.3333333;  0.000000000;  0.000000000
211.6666667;  0.000000000;  0.000000000
215.0000000;  0.000000000;  0.000000000
218.3333333;  0.000000000;  0.000000000
221.6666667;  0.000000000;  0.000000000
225.0000000;  0.000000000;  0.000000000
228.3333333;  0.000000000;  0.000000000
231.6666667;  0.000000000;  0.000000000
235.0000000;  0.000000000;  0.000000000
238.3333333;  0.000000000;  0.000000000
241.6666667;  0.000000000;  0.000000000
245.0000000;  0.000000000;  0.000000000
248.3333333;  0.000000000;  0.000000000
251.6666667;  0.000000000;  0.000000000
255.0000000;  0.000000000;  0.000000000
258.3333333;  0.000000000;  0.000000000
261.6666667;  0.000000000;  0.000000000
265.0000000;  0.000000000;  0.000000000
268.3333333;  0.000000000;  0.000000000
271.6666667;  0.000000000;  0.000000000
275.0000000;  0.000000000;  0.000000000
278.3333333;  0.000000000;  0.000000000
281.6666667;  0.000000000;  0.000000000
285.0000000;  0.000000000;  0.000000000
288.3333333;  0.000000000;  0.000000000
291.6666667;  0.000000000;  0.000000000
295.0000000;  0.000000000;  0.000000000
298.3333333;  0.000000000;  0.000000000
301.6666667;  0.0002998879158;  1.637145445E-06
305.0000000;  0.006474162730;  3.776622049E-05
308.3333333;  0.01035858675;  9.684274310E-05
311.6666667;  0.02925259208;  0.0002673011548
315.0000000;  0.06448682174;  0.0006511545301
318.3333333;  0.1131899874;  0.001339244843
321.6666667;  0.1643045628;  0.002359091457
325.0000000;  0.2679764542;  0.004057086413
328.3333333;  0.3970134887;  0.006624572947
331.6666667;  0.5732775949;  0.01040761794
335.0000000;  0.7282269397;  0.01531024851
338.3333333;  0.8979576205;  0.02147645635
341.6666667;  1.097985650;  0.02916553956
345.0000000;  1.272425200;  0.03825091880
348.3333333;  1.437340651;  0.04871310210
351.6666667;  1.578116643;  0.06042086697
355.0000000;  1.647251814;  0.07287430092
358.3333333;  1.760713680;  0.08643666878
361.6666667;  1.785729476;  0.1004488240
365.0000000;  1.811887671;  0.1149295137
368.3333333;  1.841461922;  0.1299165922
371.6666667;  1.842335290;  0.1451833930
375.0000000;  1.841893097;  0.1607215336
378.3333333;  1.828346438;  0.1764208139
381.6666667;  1.813018636;  0.1922640072
385.0000000;  1.829857610;  0.2085348744
388.3333333;  1.859344413;  0.2253554588
391.6666667;  1.833774856;  0.2422307428
395.0000000;  1.784265612;  0.2589310901
398.3333333;  1.757065923;  0.2756555893
401.6666667;  1.701579903;  0.2921241504
405.0000000;  1.628687779;  0.3081499448
408.3333333;  1.623015224;  0.3243838835
411.6666667;  1.582409365;  0.3404711351
415.0000000;  1.614616252;  0.3571527111
418.3333333;  1.653193062;  0.3745083276
421.6666667;  1.653796962;  0.3921480694
425.0000000;  1.617787583;  0.4096776213
428.3333333;  1.523904696;  0.4264499349
431.6666667;  1.487599941;  0.4430784921
435.0000000;  1.486795204;  0.4599557164
438.3333333;  1.506946995;  0.4773248556
441.6666667;  1.442915968;  0.4942098756
445.0000000;  1.398510326;  0.5108232158
448.3333333;  1.366295811;  0.5272979353
451.6666667;  1.417060346;  0.5446397934
455.0000000;  1.451330831;  0.5626641755
458.3333333;  1.355359973;  0.5797442078
461.6666667;  1.334296319;  0.5968042634
465.0000000;  1.369158195;  0.6145637590
468.3333333;  1.358453392;  0.6324379315
471.6666667;  1.342885146;  0.6503596759
475.0000000;  1.302061989;  0.6679830838
478.3333333;  1.246280132;  0.6850890635
481.6666667;  1.221533739;  0.7020898735
485.0000000;  1.216142787;  0.7192507310
488.3333333;  1.194980649;  0.7363455509
491.6666667;  1.184725010;  0.7535258208
495.0000000;  1.202558498;  0.7712019628
498.3333333;  1.221531647;  0.7893996187
501.6666667;  1.168873827;  0.8070465401
505.0000000;  1.143135301;  0.8245349853
508.3333333;  1.152361547;  0.8423980809
511.6666667;  1.181020912;  0.8609463165
515.0000000;  1.153774398;  0.8793035023
518.3333333;  1.152533995;  0.8978790979
521.6666667;  1.133237887;  0.9163793637
525.0000000;  1.112734491;  0.9347777971
528.3333333;  1.138851596;  0.9538479349
531.6666667;  1.094475015;  0.9724069690
535.0000000;  1.113299802;  0.9915226745
538.3333333;  1.096539043;  1.010585938
541.6666667;  1.067602387;  1.029376699
545.0000000;  1.074608798;  1.048524283
548.3333333;  1.058120732;  1.067609411
551.6666667;  1.049048391;  1.086761651
555.0000000;  1.058723824;  1.106324819
558.3333333;  1.047838585;  1.125920123
561.6666667;  1.018139720;  1.145188059
565.0000000;  1.007091379;  1.164473797
568.3333333;  1.028208682;  1.184396947
571.6666667;  1.044842293;  1.204880578
575.0000000;  1.002073625;  1.224755515
578.3333333;  1.036112209;  1.245544519
581.6666667;  1.082091470;  1.267507068
585.0000000;  1.069888654;  1.289471537
588.3333333;  1.042626284;  1.311120943
591.6666667;  1.005619055;  1.332239200
595.0000000;  1.041870300;  1.354365967
598.3333333;  1.060589819;  1.377143370
601.6666667;  1.049219823;  1.399928354
605.0000000;  1.055800652;  1.423111000
608.3333333;  1.090465918;  1.447319375
611.6666667;  1.100152838;  1.472011187
615.0000000;  1.057883719;  1.496013796
618.3333333;  1.045151103;  1.519985267
621.6666667;  1.061330608;  1.544590990
625.0000000;  1.084158042;  1.569996206
628.3333333;  1.075937388;  1.595478437
631.6666667;  1.030856584;  1.620152712
635.0000000;  1.056883323;  1.645717649
638.3333333;  1.065832376;  1.671770435
641.6666667;  1.052928562;  1.697777304
645.0000000;  1.038104127;  1.723685104
648.3333333;  1.016814145;  1.749324540
651.6666667;  1.013915381;  1.775154451
655.0000000;  0.9793099313;  1.800358652
658.3333333;  0.9701558075;  1.825582035
661.6666667;  0.9833776980;  1.851408741
665.0000000;  1.013427987;  1.878293510
668.3333333;  0.9975925863;  1.905024165
671.6666667;  0.9857482091;  1.931701578
675.0000000;  0.9713128852;  1.958249883
678.3333333;  0.9961767457;  1.985747359
681.6666667;  1.001138963;  2.013654064
685.0000000;  0.9869884528;  2.041436051
688.3333333;  1.006628021;  2.070047292
691.6666667;  1.006939619;  2.098945253
695.0000000;  1.003631405;  2.128026559
698.3333333;  0.9931487703;  2.157080826
701.6666667;  0.9829214374;  2.186111060
705.0000000;  0.9899572164;  2.215627549
708.3333333;  0.9927149020;  2.245506816
711.6666667;  0.9978018289;  2.275822514
715.0000000;  0.9968391706;  2.306393341
718.3333333;  0.9953595228;  2.337204074
721.6666667;  1.021799050;  2.369127448
725.0000000;  1.022011739;  2.401353113
728.3333333;  0.9932590785;  2.432960814
731.6666667;  0.9983198711;  2.465021015
735.0000000;  1.003372105;  2.497537731
738.3333333;  1.019032141;  2.530862166
741.6666667;  1.015738192;  2.564379485
745.0000000;  1.024566102;  2.598492687
748.3333333;  1.033617890;  2.633215919
751.6666667;  1.025039183;  2.667958413
755.0000000;  1.040149401;  2.703526423
758.3333333;  1.081734067;  2.740843767
761.6666667;  1.085878423;  2.778634127
765.0000000;  1.088416088;  2.816845068
768.3333333;  1.076879232;  2.854981167
771.6666667;  1.069316703;  2.893178737
775.0000000;  1.061257481;  2.931416640
778.3333333;  1.075727580;  2.970510042
781.6666667;  1.066470673;  3.009599711
785.0000000;  1.074058039;  3.049303956
788.3333333;  1.063047941;  3.088935638
791.6666667;  1.024006971;  3.127435352
795.0000000;  1.000401640;  3.165364975
798.3333333;  1.007626829;  3.203889572
801.6666667;  1.015463577;  3.243038679
805.0000000;  1.021459191;  3.282747102
808.3333333;  1.018249518;  3.322659243
811.6666667;  1.009415076;  3.362552092
815.0000000;  1.044728548;  3.404180377
818.3333333;  1.036539867;  3.445820914
821.6666667;  1.017722699;  3.487039266
825.0000000;  1.020357263;  3.528700294
828.3333333;  1.022020866;  3.570767131
831.6666667;  1.021750063;  3.613161978
835.0000000;  0.9989128198;  3.654942162
838.3333333;  1.002250338;  3.697197296
841.6666667;  1.002832633;  3.739813867
845.0000000;  1.009141014;  3.783038874
848.3333333;  1.007603617;  3.826539206
851.6666667;  0.9837584423;  3.869344507
855.0000000;  0.9932934692;  3.912903677
858.3333333;  1.015463827;  3.957782989
861.6666667;  0.9974296824;  4.002208317
865.0000000;  0.9863260419;  4.046479638
868.3333333;  0.9831009482;  4.090946945
